event_id,event_code,shot_frame,match_time,ball_speed_after_mps,shooter_jersey,kicking_side,quality_flag,peak_t_pelvis,peak_t_hip,peak_t_knee,peak_t_foot,peak_omega_pelvis,peak_omega_hip,peak_omega_knee,peak_omega_foot,gap_pelvis_to_hip,gap_hip_to_knee,gap_knee_to_foot,whipchain_score
45,AJAX | DOELPUNT,1810682,06:12,24.47,19,right,ok,-0.08,-0.76,-0.84,-0.88,6.130675418583224,11.801453932904183,15.550687222162527,19.835294022968117,-0.68,-0.07999999999999996,-0.040000000000000036,40
78,AJAX | SCHOT,1814334,08:39,28.01,6,right,ok,-1.84,-1.84,-0.16,-1.56,4.434571470274526,10.176810295719912,15.526345376866486,19.754625229185773,0.0,1.6800000000000002,-1.4000000000000001,60
120,FORTUNA SITTARD | SCHOT,1817212,10:34,26.68,28,right,ok,-0.08,-1.52,-1.44,-1.48,6.056853853152162,13.044708823610677,21.679511857194253,21.15276222406678,-1.44,0.08000000000000007,-0.040000000000000036,60
167,AJAX | DOELPUNT,1821017,13:06,24.76,24,right,ok,-0.08,-0.44,-0.64,-0.84,3.4415453808435084,12.41324214939457,12.99691094349842,20.43290455613652,-0.36,-0.2,-0.19999999999999996,40
285,AJAX | SCHOT,1833720,21:34,25.58,19,left,ok,-0.12,-0.64,-0.08,-0.12,6.276202268541235,10.963186111768664,15.451484555054908,19.462005273495404,-0.52,0.56,-0.039999999999999994,60
318,AJAX | DOELPUNT,1836288,23:17,29.18,11,left,ok,-1.8,-0.44,-1.84,-0.52,6.8278855827796825,10.06366912845843,44.01517533405246,20.844582730101457,1.36,-1.4000000000000001,1.32,80
346,AJAX | SCHOT,1839693,25:33,26.9,4,left,ok,-1.76,-0.84,-1.24,-0.24,3.0757209657091984,4.568399831059999,11.148697469948356,11.271120857144288,0.92,-0.4,1.0,80
416,FORTUNA SITTARD | SCHOT,1845484,29:25,32.21,9,left,ok,-0.12,-0.88,-0.76,-1.04,1.940715550186294,6.280985693718776,9.689634152408017,13.537611783428995,-0.76,0.12,-0.28,60
521,AJAX | SCHOT,1855680,36:12,27.42,11,left,ok,-1.68,-1.48,-1.2,-1.48,3.6719031773086757,12.457854512189394,15.982633720026842,21.33803941869368,0.19999999999999996,0.28,-0.28,80
640,FORTUNA SITTARD | DOELPUNT,1868118,44:30,14.25,29,left,ok,-1.0,-0.76,-0.68,-0.56,5.575214267804425,13.35172514957022,18.68211270771914,26.789409705914505,0.24,0.07999999999999996,0.12,100
711,AJAX | SCHOT,1900953,46:28,20.49,16,left,ok,-1.48,-1.44,-0.72,-1.08,4.643618873604674,9.5873950111468,13.535284793961788,14.631351783337513,0.040000000000000036,0.72,-0.3600000000000001,80
791,FORTUNA SITTARD | SCHOT,1906609,50:15,21.0,14,right,ok,-1.92,-1.8,-1.88,-0.08,2.999268272461754,9.709541520191076,12.708971429772646,19.799905102507086,0.11999999999999988,-0.07999999999999985,1.7999999999999998,80
830,FORTUNA SITTARD | SCHOT,1909447,52:08,39.21,17,left,ok,-0.96,-0.72,-0.28,-0.68,5.10426585368647,11.167196187678927,12.429133768312854,16.14584108772521,0.24,0.43999999999999995,-0.4,80
869,AJAX | SCHOT,1914173,55:17,30.01,11,left,ok,-0.16,-0.56,-0.2,-0.32,5.144137083761264,11.072938036680602,15.259446349173912,18.05871025379351,-0.4,0.36000000000000004,-0.12,60
876,AJAX | SCHOT,1914980,55:49,21.78,4,right,ok,-0.16,-0.12,-0.08,-0.08,2.335380285521052,7.1174793300713795,21.658202899505156,17.953685469772072,0.04000000000000001,0.039999999999999994,0.0,80
902,AJAX | SCHOT,1917904,57:46,39.21,24,left,ok,-0.08,-0.16,-1.84,-0.16,7.036468055311765,16.915426642113783,32.48657186939003,38.273868231556804,-0.08,-1.6800000000000002,1.6800000000000002,60
976,AJAX | SCHOT,1923947,61:48,23.52,24,left,ok,-2.0,-1.36,-0.08,-0.08,3.064999083267598,5.7156680660020465,11.337684081981628,10.844934504246513,0.6399999999999999,1.28,0.0,80
1026,AJAX | SCHOT,1929826,65:43,31.81,3,left,ok,-2.0,-1.08,-2.0,-1.2,2.6146386180209484,3.660375571296205,14.406208286909374,9.688232661726934,0.9199999999999999,-0.9199999999999999,0.8,80
1198,FORTUNA SITTARD | SCHOT,1947809,77:43,22.49,29,left,ok,-1.24,-1.36,-0.52,-0.56,4.430139030326805,10.311159832834214,14.957709426896525,20.027061160980743,-0.1200000000000001,0.8400000000000001,-0.040000000000000036,60
1213,FORTUNA SITTARD | SCHOT,1949354,78:44,26.82,21,right,ok,-2.0,-1.84,-1.96,-1.48,6.018345710189323,6.142343413805141,11.869383847267345,13.11631712529544,0.15999999999999992,-0.11999999999999988,0.48,69
1226,AJAX | DOELPUNT,1951882,80:25,33.29,11,left,ok,-1.76,-0.36,-1.08,-1.88,8.647616298259564,10.463559775225493,13.557134877400944,23.86627451875875,1.4,-0.7200000000000001,-0.7999999999999998,57
1262,AJAX | SCHOT,1956520,83:31,22.0,24,left,ok,-0.8,-0.52,-0.2,-0.96,4.993289430086307,10.381778878810374,17.49514769816158,20.25125804578763,0.28,0.32,-0.76,80
1336,AJAX | SCHOT,1964263,88:41,28.05,20,right,ok,-0.92,-1.92,-1.0,-0.8,4.098388401918971,12.020961409037161,17.43782887353799,23.24135608820893,-0.9999999999999999,0.9199999999999999,0.19999999999999996,80
1342,AJAX | SCHOT,1965944,89:48,26.11,11,right,ok,-0.12,-0.2,-0.16,-0.2,5.696016624163588,17.32667538418516,32.196953465081705,37.06755730957055,-0.08000000000000002,0.04000000000000001,-0.04000000000000001,60
1369,AJAX | SCHOT,1968371,91:25,17.12,24,right,ok,-0.4,-0.12,-0.08,-0.12,5.301344165394063,14.11555343530967,20.878846294359004,33.70959604122032,0.28,0.039999999999999994,-0.039999999999999994,80
